date,total_orders,total_amount,avg_check,total_items,total_payments
2023-11-16,1,2679188.22,446531.370000000000,12,1886862.54
2023-11-17,1,330625.50,110208.500000000000,8,125210.22
2023-11-18,1,430587.57,143529.190000000000,10,308673.81
2023-11-20,1,549664.35,183221.450000000000,5,0
2023-11-21,1,4093316.40,341109.700000000000,28,2009071.32
2023-12-02,2,4475002.16,319643.011428571429,27,1832144.82
2023-12-03,1,1033156.24,258289.060000000000,13,770564.08
2023-12-16,1,2624077.56,437346.260000000000,20,631290.78
2023-12-23,1,687195.12,114532.520000000000,12,342074.46
2023-12-25,1,1656366.10,331273.220000000000,13,0
2024-01-01,1,29100.41,29100.410000000000,1,8633.52
2024-01-03,1,2603542.80,325442.850000000000,26,1092837.12
2024-01-09,1,1973038.38,328839.730000000000,14,0
2024-01-10,1,2274625.20,379104.200000000000,14,1129449.42
2024-01-20,2,2747038.69,249730.790000000000,25,1400581.29
2024-01-30,1,39314.10,19657.050000000000,2,21448.49
2024-02-03,1,461758.04,115439.510000000000,10,236649.34
2024-02-06,1,1026366.80,256591.700000000000,10,0
2024-02-12,1,446331.96,223165.980000000000,5,99323.30
2024-02-16,1,18319.56,18319.5600000000000000,3,16301.74
2024-02-20,1,2416459.12,302057.390000000000,16,555987.88
2024-02-22,1,1379555.88,459851.960000000000,11,450838.50
2024-02-24,1,2201466.36,366911.060000000000,16,2191417.62
2024-02-27,1,30382.08,30382.080000000000,3,23268.42
2024-02-29,2,5179440.09,398418.468461538462,41,2943244.99
2024-03-01,1,2688805.62,448134.270000000000,19,1012520.70
2024-03-02,1,210008.40,105004.200000000000,8,102048.16
2024-03-08,1,795567.75,265189.250000000000,9,734235.33
2024-03-09,1,402422.72,100605.680000000000,12,192019.64
2024-03-10,1,1122806.80,112280.680000000000,14,359980.15
2024-03-11,1,1113596.90,222719.380000000000,12,0
2024-03-16,1,3326553.84,554425.640000000000,17,2101610.94
2024-03-25,1,420797.73,140265.910000000000,7,283820.19
2024-04-03,2,5922126.76,423009.054285714286,42,2739969.42
2024-04-04,1,2468006.16,308500.770000000000,26,1261796.72
2024-04-05,1,1493816.80,149381.680000000000,24,686390.60
2024-04-09,1,1967500.40,245937.550000000000,22,997973.28
2024-04-17,3,1077115.81,153873.687142857143,12,914194.27
2024-04-22,2,507849.48,126962.370000000000,9,302906.38
2024-04-23,1,37617.10,37617.100000000000,1,32158.58
2024-04-26,1,2192043.96,365340.660000000000,22,842676.63
2024-04-28,2,2984124.24,248677.020000000000,28,1386085.52
2024-05-13,1,1272829.52,318207.380000000000,11,1185601.56
2024-05-15,1,44212.60,44212.600000000000,1,20778.32
2024-05-22,1,625440.84,156360.210000000000,7,604355.36
2024-05-24,1,491273.36,61409.170000000000,12,195850.16
2024-05-27,1,282573.92,70643.480000000000,8,122402.64
2024-06-03,1,2515922.88,314490.360000000000,26,869642.80
2024-06-04,1,864845.45,172969.090000000000,7,0
2024-06-05,1,2540078.80,317509.850000000000,14,975862.28
2024-06-13,1,207169.92,103584.960000000000,4,0
2024-06-14,1,830304.12,207576.030000000000,10,803339.48
2024-06-20,2,635834.88,79479.360000000000,12,248945.62
2024-06-30,1,747181.11,249060.370000000000,11,0
2024-07-11,1,2065056.80,206505.680000000000,16,981761.65
2024-07-15,1,4160804.30,416080.430000000000,26,2074869.50
2024-07-18,2,1354999.84,135499.984000000000,14,628884.86
2024-07-21,1,438315.60,219157.800000000000,8,326302.06
2024-07-23,1,299939.36,74984.840000000000,8,146122.78
2024-07-29,1,699637.12,174909.280000000000,14,324297.70
2024-08-02,1,1819824.06,303304.010000000000,14,928383.24
2024-08-06,1,1963457.60,245432.200000000000,16,519223.00
2024-08-07,3,3004890.30,333876.700000000000,27,2176856.56
2024-08-14,1,258245.20,64561.300000000000,6,127704.92
2024-08-16,1,1205057.70,401685.900000000000,9,908169.51
2024-08-23,1,99948.16,49974.080000000000,4,50963.87
2024-08-27,1,2001380.90,200138.090000000000,24,949985.75
2024-09-02,1,2827197.20,353399.650000000000,22,1398074.44
2024-09-09,1,170703.76,170703.760000000000,4,0
2024-09-16,1,61473.26,30736.630000000000,2,31777.17
2024-09-20,1,38788.68,38788.680000000000,2,0
2024-09-26,1,1696269.36,212033.670000000000,30,842748.60
2024-09-28,1,1522023.45,304404.690000000000,13,1489963.10
2024-09-29,1,3225478.72,403184.840000000000,28,1445712.00
2024-10-05,1,37316.90,37316.900000000000,1,0
2024-10-06,1,204995.04,68331.680000000000,5,0
2024-10-12,1,2038857.24,339809.540000000000,11,1746039.18
2024-10-15,1,1530900.30,306180.060000000000,11,374384.65
2024-10-21,1,199896.32,99948.160000000000,8,99615.42
2024-10-31,1,1577983.92,262997.320000000000,9,948766.98
2024-11-02,1,109013.55,109013.550000000000,3,33934.31
2024-11-03,1,1754144.70,350828.940000000000,15,871877.75
2024-11-13,1,69397.12,34698.560000000000,8,32754.22
2024-11-23,1,972924.50,194584.900000000000,11,327232.85
2024-11-27,2,2665615.16,266561.516000000000,21,1362136.68
2024-12-06,1,414029.60,103507.400000000000,8,136499.04
2024-12-09,1,273289.02,136644.510000000000,4,0
2024-12-23,1,1703662.26,283943.710000000000,15,1124196.78
2024-12-25,1,2106478.60,210647.860000000000,32,1046795.65
2024-12-28,1,1964387.10,327397.850000000000,12,1552889.94
2025-01-01,1,4551625.20,455162.520000000000,30,1765253.10
2025-01-03,1,486400.11,162133.370000000000,6,336181.83
2025-01-08,1,651456.84,217152.280000000000,8,0
2025-01-17,2,2833938.74,283393.874000000000,19,1261767.40
2025-01-21,1,148643.28,74321.640000000000,8,73381.53
2025-01-26,1,1517137.56,252856.260000000000,12,773719.17
2025-02-11,2,915213.83,152535.638333333333,12,428990.25
2025-02-12,1,566745.60,188915.200000000000,7,449420.76
2025-02-16,1,1190887.96,297721.990000000000,11,988809.36
2025-02-18,1,1145816.65,229163.330000000000,11,1071799.00
2025-02-22,1,71868.54,35934.270000000000,2,35721.13
2025-02-24,1,1197710.12,299427.530000000000,11,0
2025-02-26,1,440316.56,220158.280000000000,6,333382.18
2025-02-28,1,202660.68,33776.780000000000,8,92828.10
2025-03-03,2,804066.96,80406.696000000000,16,324516.42
2025-03-10,1,1324451.52,220741.920000000000,16,626785.02
2025-03-13,1,608732.64,202910.880000000000,5,396954.09
2025-03-14,1,605618.08,151404.520000000000,14,173993.52
