date;total_orders;total_amount;avg_check;total_items;total_payments
2024-05-07;1;198593.75;198593.750000000000;5;112640.16
2024-05-08;1;166024.32;166024.320000000000;11;0
2024-05-13;1;500125.18;500125.180000000000;16;405132.52
2024-05-14;1;151449.29;151449.290000000000;5;124025.93
2024-05-16;1;99975.73;99975.730000000000;11;0
2024-05-17;1;180046.64;180046.640000000000;4;0
2024-05-21;4;868373.64;217093.410000000000;36;305730.60
2024-05-24;1;184933.17;184933.170000000000;15;142533.25
2024-05-26;1;353699.09;353699.090000000000;15;384850.28
2024-05-31;1;238779.55;238779.550000000000;13;158249.90
2024-06-02;1;146695.76;146695.760000000000;12;77889.89
2024-06-06;1;321090.62;321090.620000000000;14;267052.55
2024-06-27;1;282218.32;282218.320000000000;14;240412.61
2024-07-04;1;508088.28;508088.280000000000;21;571829.26
2024-07-16;1;129983.46;129983.460000000000;6;0
2024-07-23;2;181056.41;90528.205000000000;11;68208.39
2024-07-25;1;21481.50;21481.500000000000;8;23538.20
2024-07-27;1;57476.64;57476.640000000000;3;0
2024-07-28;1;681741.32;681741.320000000000;21;630530.50
2024-08-01;1;249435.68;249435.680000000000;17;206603.47
2024-08-03;2;447035.88;223517.940000000000;18;221451.79
2024-08-04;1;170522.11;170522.110000000000;7;165320.79
2024-08-10;1;151877.82;151877.820000000000;6;0
2024-08-11;1;42492.58;42492.580000000000;1;17168.85
2024-08-14;1;180114.18;180114.180000000000;5;144752.26
2024-08-16;1;233951.22;233951.220000000000;17;118290.57
2024-08-19;1;132113.01;132113.010000000000;5;127064.90
2024-08-24;2;318834.01;159417.005000000000;27;299833.33
2024-09-04;1;22147.10;22147.100000000000;2;20940.98
2024-09-08;1;238708.80;238708.800000000000;10;61337.36
2024-09-11;1;318891.75;318891.750000000000;14;255912.81
2024-09-15;1;236379.42;236379.420000000000;10;235689.27
2024-09-21;1;343173.95;343173.950000000000;16;343115.81
2024-09-24;1;331312.36;331312.360000000000;14;69956.33
2024-09-30;1;116890.98;116890.980000000000;7;104899.41
2024-10-07;1;210190.81;210190.810000000000;5;74808.84
2024-10-11;1;67166.15;67166.150000000000;5;36673.73
2024-10-12;1;343727.94;343727.940000000000;14;316811.81
2024-10-13;2;379889.63;189944.815000000000;12;365261.55
2024-10-15;1;78537.99;78537.990000000000;3;0
2024-10-18;1;248860.37;248860.370000000000;13;158167.90
2024-10-20;1;166792.99;166792.990000000000;9;165877.64
2024-10-21;1;189010.54;189010.540000000000;10;161009.12
2024-10-23;2;335383.36;167691.680000000000;15;274693.98
2024-10-29;1;170800.72;170800.720000000000;11;123622.38
2024-10-31;2;326379.31;163189.655000000000;18;0
2024-11-03;1;240139.07;240139.070000000000;16;0
2024-11-10;1;51548.79;51548.790000000000;6;27182.15
2024-11-14;2;294155.07;147077.535000000000;20;175096.34
2024-11-20;1;349403.95;349403.950000000000;12;113238.89
2024-11-22;2;115896.40;57948.200000000000;6;81957.72
2024-11-24;1;51027.78;51027.780000000000;7;39802.91
2024-11-25;1;336622.92;336622.920000000000;13;346469.58
2024-11-29;2;512116.09;256058.045000000000;27;281337.30
2024-12-02;1;174011.36;174011.360000000000;8;192491.86
2024-12-04;1;236190.32;236190.320000000000;7;59862.76
2024-12-05;1;216159.96;216159.960000000000;11;114198.55
2024-12-09;1;395375.64;395375.640000000000;18;139873.19
2024-12-11;1;217750.02;217750.020000000000;8;0
2024-12-22;2;526749.37;263374.685000000000;26;301132.32
2024-12-31;1;107465.60;107465.600000000000;6;0
2025-01-01;2;518556.01;259278.005000000000;21;498741.37
2025-01-03;1;263247.75;263247.750000000000;13;249925.40
2025-01-06;1;373193.43;373193.430000000000;14;276090.73
2025-01-07;1;109063.40;109063.400000000000;6;104531.64
2025-01-08;1;26783.47;26783.470000000000;1;13261.52
2025-01-10;1;355482.63;355482.630000000000;15;352852.54
2025-01-13;1;59630.30;59630.300000000000;5;52943.32
2025-01-14;1;209166.13;209166.130000000000;10;209822.05
2025-01-16;1;135577.16;135577.160000000000;9;84223.85
2025-01-24;1;227956.40;227956.400000000000;9;226852.35
2025-02-04;1;264442.27;264442.270000000000;11;130492.46
2025-02-05;1;404184.45;404184.450000000000;10;119789.54
2025-02-09;1;43389.60;43389.600000000000;4;0
2025-02-11;2;418581.87;209290.935000000000;15;321999.52
2025-02-14;2;611494.70;305747.350000000000;24;390265.56
2025-02-25;1;202800.12;202800.120000000000;6;144098.79
2025-02-26;2;380679.44;190339.720000000000;10;213978.43
2025-03-08;1;35038.41;35038.410000000000;3;34676.32
2025-03-13;1;155657.58;155657.580000000000;9;88807.29
2025-03-15;1;68166.72;68166.720000000000;4;72270.31
2025-03-18;1;154688.79;154688.790000000000;7;44983.79
2025-03-23;1;85842.42;85842.420000000000;6;93567.15
2025-03-24;1;375395.46;375395.460000000000;18;295947.26
2025-04-05;1;68134.66;68134.660000000000;7;0
2025-04-11;1;119139.57;119139.570000000000;9;119266.12
2025-04-17;1;281880.88;281880.880000000000;8;306082.46
2025-04-21;1;168417.78;168417.780000000000;10;77092.70
2025-04-24;1;52399.44;52399.440000000000;2;41611.64
2025-04-30;1;88924.88;88924.880000000000;4;91967.60
2025-05-02;1;378842.42;378842.420000000000;10;319926.10
2025-05-05;1;146152.49;146152.490000000000;12;123156.81
2025-05-13;1;215459.30;215459.300000000000;10;214536.96
2025-05-28;1;574648.36;574648.360000000000;18;206969.76
2025-06-02;1;215354.92;215354.920000000000;7;0
2025-06-04;1;422281.68;422281.680000000000;14;314270.92
2025-06-10;1;63815.21;63815.210000000000;6;0
2025-06-13;1;312614.38;312614.380000000000;9;294918.89
2025-06-15;1;140753.17;140753.170000000000;5;133537.03
2025-06-16;1;64494.22;64494.220000000000;4;60378.45
2025-06-20;1;284401.37;284401.370000000000;14;109135.48
2025-06-22;1;285148.60;285148.600000000000;9;275416.80
2025-06-25;1;21694.80;21694.800000000000;2;18137.90
2025-06-30;1;110479.44;110479.440000000000;4;79026.73
2025-07-02;1;37089.80;37089.800000000000;4;19961.68
2025-07-04;1;239466.73;239466.730000000000;14;231960.94
2025-07-06;1;286860.30;286860.300000000000;11;0
2025-07-10;1;96932.90;96932.900000000000;3;53079.41
2025-07-18;1;227303.76;227303.760000000000;8;230677.91
2025-07-20;2;552863.33;276431.665000000000;27;267833.26
2025-08-02;1;33921.96;33921.960000000000;4;27006.87
2025-08-04;1;305308.97;305308.970000000000;10;299292.64
2025-08-05;1;237448.52;237448.520000000000;11;169866.43
2025-08-10;2;259595.09;129797.545000000000;11;259612.28
2025-08-11;1;304559.73;304559.730000000000;11;223915.63
2025-08-14;1;402571.56;402571.560000000000;14;220739.38
2025-08-17;1;23843.95;23843.950000000000;1;22615.49
2025-08-21;1;215195.83;215195.830000000000;8;0
2025-08-26;1;413315.32;413315.320000000000;12;0
2025-08-31;1;339215.45;339215.450000000000;10;321497.07
2025-09-02;1;130392.36;130392.360000000000;7;94890.06
2025-09-03;1;466478.77;466478.770000000000;20;428455.21
2025-09-05;2;974048.68;487024.340000000000;29;51323.74
2025-09-13;1;155021.84;155021.840000000000;4;0
2025-09-15;2;478690.12;239345.060000000000;19;34536.14
2025-09-17;1;106263.47;106263.470000000000;11;61532.07
2025-09-18;1;17957.44;17957.4400000000000000;4;9367.24
2025-09-26;1;317476.56;317476.560000000000;8;227473.62
2025-09-29;1;207539.31;207539.310000000000;9;202479.58
2025-09-30;1;194317.64;194317.640000000000;7;52123.09
2025-10-01;1;441621.28;441621.280000000000;14;477175.88
2025-10-07;1;125574.74;125574.740000000000;7;112757.79
2025-10-08;1;152860.09;152860.090000000000;4;160502.29
2025-10-16;1;369845.15;369845.150000000000;10;0
2025-10-21;1;129064.42;129064.420000000000;9;127342.01
2025-10-30;1;592511.85;592511.850000000000;16;390645.87
2025-11-01;1;356276.94;356276.940000000000;9;350706.58
2025-11-03;1;21212.28;21212.280000000000;3;19790.28
2025-11-04;1;128275.32;128275.320000000000;8;74400.08
2025-11-12;1;278098.76;278098.760000000000;16;219179.58
2025-11-22;2;220340.43;110170.215000000000;11;177506.15
2025-11-25;1;42396.27;42396.270000000000;3;41728.55
2025-11-30;1;173500.17;173500.170000000000;5;107403.85
2025-12-03;1;287306.27;287306.270000000000;15;253175.16
2025-12-04;1;278505.90;278505.900000000000;7;263603.55
2025-12-10;1;173560.37;173560.370000000000;11;99916.55
2025-12-22;1;340446.96;340446.960000000000;13;339944.95
2025-12-27;2;504681.92;252340.960000000000;22;182858.21
2025-12-31;1;12936.54;12936.5400000000000000;2;13449.15
2026-01-08;1;33308.64;33308.640000000000;1;33215.54
2026-01-10;1;83410.79;83410.790000000000;3;55594.32
2026-01-17;1;92629.98;92629.980000000000;3;66927.04
2026-01-18;1;280288.94;280288.940000000000;6;182013.43
2026-01-26;1;79437.50;79437.500000000000;2;86831.68
2026-02-11;1;480609.28;480609.280000000000;17;322467.30
2026-02-13;1;269431.78;269431.780000000000;8;165472.27
2026-02-19;1;168563.35;168563.350000000000;9;166089.72
2026-03-05;1;136024.08;136024.080000000000;4;130011.99
2026-03-07;1;244243.60;244243.600000000000;10;54654.65
2026-03-08;1;400203.96;400203.960000000000;16;264299.69
2026-03-10;1;167829.54;167829.540000000000;6;145448.40
2026-03-13;1;12936.54;12936.5400000000000000;2;6975.30
2026-03-16;1;207423.42;207423.420000000000;8;131247.23
2026-03-22;1;172537.66;172537.660000000000;13;103304.18
2026-03-23;1;233106.86;233106.860000000000;11;0
2026-03-25;1;48077.03;48077.030000000000;3;0
2026-03-28;1;166049.48;166049.480000000000;5;40781.90
2026-03-29;1;450767.32;450767.320000000000;18;213808.78
2026-04-01;1;148028.20;148028.200000000000;9;141495.19
2026-04-05;1;377918.08;377918.080000000000;9;332687.01
2026-04-07;1;647964.04;647964.040000000000;15;672971.17
2026-04-19;1;291978.21;291978.210000000000;12;0
2026-04-21;1;111355.71;111355.710000000000;8;0
2026-04-23;1;154606.45;154606.450000000000;12;0
2026-05-04;1;51890.25;51890.250000000000;3;34642.92
2026-05-06;2;235542.93;117771.465000000000;14;178755.25
