date;total_orders;total_amount;avg_check;total_items;total_payments
2024-02-10;1;375053.17;375053.170000000000;13;364953.02
2024-02-11;1;99739.41;99739.410000000000;7;74428.67
2024-02-16;1;151204.70;151204.700000000000;4;146691.05
2024-02-21;1;361040.25;361040.250000000000;14;0
2024-02-22;2;448527.26;224263.630000000000;16;78641.14
2024-03-13;1;396584.69;396584.690000000000;12;313632.17
2024-03-26;1;292023.62;292023.620000000000;16;67247.88
2024-03-29;1;2425.52;2425.5200000000000000;4;2370.09
2024-03-31;1;249296.96;249296.960000000000;8;125593.92
2024-04-05;1;239323.96;239323.960000000000;9;235581.80
2024-04-07;1;264880.56;264880.560000000000;10;0
2024-04-15;1;193875.61;193875.610000000000;7;140911.06
2024-04-19;1;331989.91;331989.910000000000;12;308084.67
2024-04-23;1;60907.53;60907.530000000000;3;53900.43
2024-04-26;1;158089.41;158089.410000000000;10;0
2024-04-29;1;68206.27;68206.270000000000;4;19006.10
2024-04-30;2;263990.72;131995.360000000000;9;211806.75
2024-05-04;1;54004.94;54004.940000000000;2;18581.29
2024-05-08;1;295866.00;295866.000000000000;11;132307.82
2024-05-16;1;117687.98;117687.980000000000;11;68728.37
2024-05-18;1;368150.12;368150.120000000000;12;293341.37
2024-05-28;1;260649.89;260649.890000000000;9;222155.95
2024-05-31;1;323988.28;323988.280000000000;9;349194.06
2024-06-13;2;417788.54;208894.270000000000;16;459229.16
2024-06-16;1;152214.45;152214.450000000000;6;0
2024-06-18;2;478567.95;239283.975000000000;25;40069.18
2024-06-21;1;416655.37;416655.370000000000;19;230447.57
2024-06-27;1;85262.95;85262.950000000000;4;94775.78
2024-07-03;2;554032.32;277016.160000000000;23;439451.66
2024-07-06;1;149551.89;149551.890000000000;3;146827.94
2024-07-09;1;129285.90;129285.900000000000;6;117152.72
2024-07-12;1;254346.81;254346.810000000000;7;237278.07
2024-07-19;1;115210.36;115210.360000000000;3;70477.68
2024-07-24;1;48956.48;48956.480000000000;5;46529.52
2024-07-26;1;340752.90;340752.900000000000;8;90916.61
2024-07-27;1;156469.32;156469.320000000000;5;34258.40
2024-07-28;1;208940.20;208940.200000000000;8;88540.25
2024-07-30;1;102756.24;102756.240000000000;6;56876.27
2024-08-07;1;348578.86;348578.860000000000;13;184306.59
2024-08-09;1;83289.00;83289.000000000000;4;74708.24
2024-08-13;1;78343.04;78343.040000000000;2;74985.67
2024-08-15;1;502252.53;502252.530000000000;18;0
2024-08-26;1;360601.86;360601.860000000000;20;0
2024-08-27;1;259227.76;259227.760000000000;8;266403.95
2024-08-29;1;207743.51;207743.510000000000;7;55370.57
2024-09-01;1;115630.89;115630.890000000000;9;30800.84
2024-09-03;1;222108.41;222108.410000000000;11;208761.06
2024-09-04;1;183791.43;183791.430000000000;14;176058.60
2024-09-08;1;313395.32;313395.320000000000;13;307706.95
2024-09-10;1;419739.75;419739.750000000000;18;175162.37
2024-09-21;1;191255.12;191255.120000000000;11;106957.67
2024-10-02;1;364257.65;364257.650000000000;15;253038.24
2024-10-06;1;83918.13;83918.130000000000;7;86585.42
2024-10-08;1;350155.40;350155.400000000000;13;391329.08
2024-10-10;2;530844.42;265422.210000000000;22;444892.31
2024-10-12;1;78954.74;78954.740000000000;2;77284.13
2024-10-17;1;202835.56;202835.560000000000;8;198800.37
2024-10-22;1;247018.14;247018.140000000000;11;96433.89
2024-11-02;1;246676.69;246676.690000000000;12;205871.24
2024-11-03;1;285720.24;285720.240000000000;13;235372.65
2024-11-04;1;288210.44;288210.440000000000;14;206188.17
2024-11-09;1;182652.46;182652.460000000000;7;168736.74
2024-11-14;1;338215.06;338215.060000000000;8;270544.64
2024-11-16;1;498731.40;498731.400000000000;19;484734.91
2024-11-20;1;169622.76;169622.760000000000;7;175734.85
2024-11-21;2;434338.08;217169.040000000000;21;109632.60
2024-11-23;2;292554.22;146277.110000000000;18;182663.25
2024-12-03;1;108736.25;108736.250000000000;8;47286.94
2024-12-05;2;486592.49;243296.245000000000;17;473070.92
2024-12-08;1;203548.02;203548.020000000000;7;149262.10
2024-12-10;2;302602.47;151301.235000000000;11;288783.35
2024-12-11;1;364093.86;364093.860000000000;11;380335.49
2024-12-15;1;289791.50;289791.500000000000;10;70736.18
2024-12-30;1;274516.22;274516.220000000000;10;263762.58
2025-01-04;1;465155.29;465155.290000000000;11;0
2025-01-05;1;161843.69;161843.690000000000;9;0
2025-01-06;1;527549.93;527549.930000000000;15;391263.73
2025-01-09;1;413605.36;413605.360000000000;18;0
2025-01-15;2;235346.94;117673.470000000000;14;46894.28
2025-01-17;1;89469.22;89469.220000000000;4;68721.17
2025-01-20;1;9784.96;9784.9600000000000000;4;8235.47
2025-01-23;1;298320.78;298320.780000000000;11;0
2025-01-24;1;363020.99;363020.990000000000;14;349290.65
2025-01-27;1;221440.81;221440.810000000000;5;195571.92
2025-01-30;1;143838.58;143838.580000000000;9;138848.02
2025-01-31;2;209538.26;104769.130000000000;11;131684.47
2025-02-06;1;188912.02;188912.020000000000;10;144716.65
2025-02-10;2;586862.84;293431.420000000000;20;373731.18
2025-02-13;1;387064.72;387064.720000000000;16;0
2025-02-14;1;211341.42;211341.420000000000;6;207879.59
2025-02-19;1;449449.30;449449.300000000000;17;429807.68
2025-02-20;1;209420.47;209420.470000000000;13;171798.69
2025-02-25;1;363620.35;363620.350000000000;12;0
2025-02-26;1;150352.79;150352.790000000000;5;0
2025-03-05;1;174420.69;174420.690000000000;5;39696.30
2025-03-06;1;62457.63;62457.630000000000;3;15078.62
2025-03-19;4;656774.43;164193.607500000000;29;517459.21
2025-03-26;1;45043.12;45043.120000000000;4;43410.91
2025-03-27;1;13254.00;13254.0000000000000000;4;9377.76
2025-03-31;1;222138.77;222138.770000000000;9;161749.69
2025-04-04;1;96189.85;96189.850000000000;5;74282.27
2025-04-05;1;74295.98;74295.980000000000;2;0
2025-04-06;2;332051.94;166025.970000000000;16;217140.43
2025-04-07;1;295865.02;295865.020000000000;11;196876.55
2025-04-15;1;504084.74;504084.740000000000;19;0
2025-04-23;1;157167.24;157167.240000000000;10;86159.22
2025-04-27;1;155675.17;155675.170000000000;6;152852.13
2025-04-28;1;139113.96;139113.960000000000;11;124338.71
2025-05-05;1;32083.03;32083.030000000000;2;0
2025-05-12;1;188336.52;188336.520000000000;6;156289.56
2025-05-13;1;229024.21;229024.210000000000;14;0
2025-05-22;1;97321.23;97321.230000000000;3;55222.04
2025-05-24;1;427146.73;427146.730000000000;17;360066.18
2025-05-26;1;178918.82;178918.820000000000;8;0
2025-05-28;1;240883.22;240883.220000000000;10;156542.06
2025-05-30;2;357100.23;178550.115000000000;12;118669.23
2025-06-04;1;63651.39;63651.390000000000;3;59283.23
2025-06-11;1;375289.80;375289.800000000000;11;370580.84
2025-06-12;2;1002607.66;501303.830000000000;29;491467.02
2025-06-14;2;460416.17;230208.085000000000;15;144893.34
2025-06-20;1;382353.50;382353.500000000000;13;385862.87
2025-06-25;1;71888.92;71888.920000000000;2;47399.73
2025-06-30;2;497221.50;248610.750000000000;23;128606.86
2025-07-03;1;203471.22;203471.220000000000;5;193725.31
2025-07-13;2;237974.66;118987.330000000000;19;176900.05
2025-07-30;1;121698.95;121698.950000000000;6;72540.66
